"HMM"	"PS"
"XP_017159121.1"	0	2577
"XP_017160495.1"	90.9	2573
"XP_017161209.1"	93.6	1773
"XP_017162024.1"	0	3557
"XP_017164180.1"	69.5	2024
"XP_017206701.1"	46.9	1616
"XP_017208061.1"	62.2	1421
"XP_017209257.1"	0	2598
"XP_017210951.2"	0	1832
"XP_017210954.1"	0	1730
"XP_017211035.2"	0	2700
"XP_017211282.1"	0	2575
"XP_017259778.1"	152.1	2396
"XP_017261958.1"	102.1	2345
"XP_017263054.1"	100.4	2565
"XP_017263527.1"	0	2786
"XP_017263900.1"	95.8	2529
"XP_017264904.1"	0	3450
"XP_017266074.1"	0	2946
"XP_017267289.1"	106.9	2317
"XP_017267947.1"	0	2742
"XP_017268378.2"	38.5	2029
"XP_017268604.1"	34.5	2137
"XP_017269189.1"	0	2846
"XP_017270554.1"	0	3203
"XP_017273290.1"	48.8	1886
"XP_017274138.1"	0	2676
"XP_017274214.1"	0	2831
"XP_017274900.1"	0	3079
"XP_017274956.1"	0	1815
"XP_017275379.1"	0	3530
"XP_017275726.1"	0	1625
"XP_017277929.1"	0	3213
"XP_017278576.1"	0	2462
"XP_017278763.1"	0	2462
"XP_017278972.1"	0	3630
"XP_017279064.1"	59.7	2064
"XP_017279495.1"	69.8	1467
"XP_017279649.1"	0	3354
"XP_017280284.1"	94.2	2133
"XP_017280609.1"	0	3362
"XP_017281201.1"	97.3	2733
"XP_017282029.1"	0	3200
"XP_017282031.1"	0	3296
"XP_017283952.2"	99	2559
"XP_017284972.1"	0	3111
"XP_017285066.1"	0	3504
"XP_017286032.1"	0	2817
"XP_017286286.1"	43.4	2264
"XP_017286595.1"	74.5	1931
"XP_017287173.3"	0	2287
"XP_017287977.1"	94.7	1661
"XP_017288584.1"	95.4	2649
"XP_017288855.1"	0	3448
"XP_017289035.1"	267.2	1838
"XP_017292246.1"	0	2941
"XP_017292616.1"	0	1961
"XP_017293286.1"	83.5	1999
"XP_017294049.2"	0	3798
"XP_017294507.1"	0	3176
"XP_017295924.1"	0	2647
"XP_017296779.1"	0	3546
"XP_017306815.1"	41.8	2293
"XP_017306879.1"	102	2729
"XP_017307615.1"	0	3599
"XP_017307873.1"	0	2773
"XP_017307991.1"	0	3210
"XP_017308168.1"	91.9	1590
"XP_017312160.1"	309.7	2326
"XP_017312790.1"	0	3516
"XP_017312823.1"	0	1559
"XP_017314080.1"	33	0
"XP_017314535.1"	311.3	2507
"XP_017314868.1"	0	2342
"XP_017316469.1"	97.8	2346
"XP_017316753.2"	315.9	2786
"XP_017317700.1"	0	2391
"XP_017318716.2"	38.7	1928
"XP_017319373.1"	0	1413
"XP_017320313.1"	0	3755
"XP_017320414.2"	312.4	2559
"XP_017321405.1"	0	2391
"XP_017321561.3"	322.7	2588
"XP_017322567.1"	48	2136
"XP_017322651.2"	0	2701
"XP_017322698.1"	0	2971
"XP_017322923.3"	0	3247
"XP_017324604.1"	0	3298
"XP_017326179.1"	311.5	2459
"XP_017326191.2"	317.2	2604
"XP_017326194.2"	308.9	2701
"XP_017326659.1"	0	3305
"XP_017327033.1"	0	3030
"XP_017329668.1"	0	2483
"XP_017329934.1"	0	2222
"XP_017331500.1"	0	3055
"XP_017332093.1"	0	2886
"XP_017332382.1"	0	2175
"XP_017334382.1"	0	2475
"XP_017336758.2"	0	3358
"XP_017336768.2"	0	3598
"XP_017337337.2"	0	3388
"XP_017337407.1"	0	2905
"XP_017338945.1"	309.2	2873
"XP_017339657.1"	309.9	2653
"XP_017340360.1"	0	3182
"XP_017341639.1"	0	2861
"XP_017341725.1"	158.6	1706
"XP_017343778.1"	10.2	1586
"XP_017345032.1"	8.2	2180
"XP_017345949.1"	0	3580
"XP_017345965.3"	0	3337
"XP_017346619.2"	308	2525
"XP_017347954.1"	0	3432
"XP_017349447.1"	86.3	1848
"XP_017349454.1"	0	2208
"XP_017350605.1"	45.4	2059
"XP_017351189.1"	99.4	2511
"XP_017351325.1"	0	2176
"XP_017352020.1"	0	3269
"XP_017537933.1"	0	2280
"XP_017538696.2"	0	2079
"XP_017540171.2"	100.3	2551
"XP_017541498.1"	301.9	2726
"XP_017542534.1"	41.3	1774
"XP_017546233.1"	0	2548
"XP_017546485.1"	102.3	2729
"XP_017546697.2"	0	3543
"XP_017547510.1"	0	2473
"XP_017547755.1"	0	2575
"XP_017548354.1"	87.6	2771
"XP_017549138.1"	0	3112
"XP_017552880.2"	0	2080
"XP_017552897.1"	0	2928
"XP_017552997.1"	0	3239
"XP_017553370.1"	0	2306
"XP_017554503.1"	0	1710
"XP_017556170.1"	0	2681
"XP_017557158.1"	0	2515
"XP_017557325.1"	0	3338
"XP_017558247.1"	0	2654
"XP_017558941.1"	0	3129
"XP_017559288.1"	0	2842
"XP_017559800.2"	0	3608
"XP_017560598.1"	42.4	2250
"XP_017561527.2"	0	3318
"XP_017562177.1"	157.5	1810
"XP_017563066.1"	0	2417
"XP_017563340.2"	0	3305
"XP_017563620.1"	45.1	1440
"XP_017564311.1"	0	3111
"XP_017564529.1"	0	1474
"XP_017565041.1"	37.4	1602
"XP_017565900.1"	0	3111
"XP_017566850.1"	108.3	2725
"XP_017566949.1"	61.1	2103
"XP_017570845.1"	0	3619
"XP_017570846.1"	0	3560
"XP_017570859.2"	0	3313
"XP_017570874.1"	83.9	1893
"XP_017571801.1"	0	3331
"XP_017573456.1"	320.4	3016
"XP_017573463.2"	297.1	2765
"XP_017573518.1"	0	3176
"XP_017574139.1"	0	3573
"XP_017574359.2"	0	3374
"XP_017575850.1"	16.1	1945
"XP_017575944.2"	0	3206
"XP_017576321.2"	0	3337
"XP_017577331.1"	97.1	2703
"XP_017577671.1"	0	3624
"XP_017577800.1"	41.4	1862
"XP_017577913.1"	0	3491
"XP_017578394.1"	0	2557
"XP_017579783.1"	97.5	2532
"XP_018515546.1"	73.1	1831
"XP_018515713.1"	155.8	2088
"XP_018518465.1"	98.3	2741
"XP_018519048.1"	94.5	2694
"XP_018520030.1"	0	2293
"XP_018521106.1"	76	2222
"XP_018521466.1"	0	3203
"XP_018521744.1"	303.8	1881
"XP_018522252.1"	0	3107
"XP_018522328.1"	0	2952
"XP_018523031.1"	0	1842
"XP_018524039.1"	0	3031
"XP_018525612.1"	57.3	2025
"XP_018526418.1"	12.8	0
"XP_018527718.1"	0	2948
"XP_018527726.1"	0	1846
"XP_018529173.1"	103.2	2331
"XP_018529433.1"	0	3393
"XP_018530312.1"	0	2751
"XP_018531506.1"	93	2338
"XP_018531593.1"	101.1	2462
"XP_018532101.1"	11.4	3342
"XP_018532741.1"	0	1843
"XP_018534681.1"	0	3176
"XP_018535755.1"	39.1	2107
"XP_018535931.1"	0	3313
"XP_018536445.1"	0	2312
"XP_018536655.1"	69.1	1602
"XP_018536738.1"	0	3461
"XP_018537841.1"	43.5	2264
"XP_018539740.1"	37.3	1941
"XP_018540528.2"	0	3318
"XP_018540804.2"	0	3792
"XP_018541035.1"	0	3811
"XP_018542524.2"	13	2984
"XP_018542720.2"	0	2028
"XP_018543053.1"	95.3	2226
"XP_018543144.1"	0	3355
"XP_018544492.1"	43.8	2119
"XP_018544780.1"	0	3270
"XP_018547556.2"	70.9	1784
"XP_018548161.1"	0	2000
"XP_018548360.1"	0	2647
"XP_018549646.1"	0	2964
"XP_018550057.1"	0	2597
"XP_018551038.2"	0	2091
"XP_018552383.1"	0	2921
"XP_018556104.1"	94.5	2589
"XP_018556548.1"	91.2	1810
"XP_018557132.1"	0	3535
"XP_018557480.1"	0	2430
"XP_018557814.1"	0	3111
"XP_018559037.1"	0	2162
"XP_018581102.2"	0	3305
"XP_018581332.2"	92.6	2656
"XP_018581398.1"	0	2114
"XP_018581789.1"	0	2510
"XP_018583343.2"	0	2233
"XP_018583377.1"	0	3176
"XP_018584328.1"	0	2864
"XP_018585253.1"	92.4	1982
"XP_018585309.2"	0	3703
"XP_018586081.2"	0	1912
"XP_018588269.2"	0	2949
"XP_018588465.1"	0	3755
"XP_018588664.1"	59.6	2050
"XP_018589603.1"	0	3356
"XP_018589847.1"	0	2668
"XP_018590277.2"	0	3316
"XP_018590733.1"	0	3062
"XP_018592176.1"	41.7	2257
"XP_018592837.1"	0	3488
"XP_018594401.1"	0	2220
"XP_018596230.1"	0	3325
"XP_018597508.2"	311.5	2439
"XP_018597534.2"	0	3201
"XP_018598998.1"	85.8	2274
"XP_018601044.2"	0	3325
"XP_018601785.1"	0	2405
"XP_018603237.2"	0	2840
"XP_018603413.1"	70.4	1717
"XP_018605860.1"	0	2623
"XP_018607847.1"	0	3596
"XP_018607916.1"	0	2647
"XP_018608332.1"	0	3345
"XP_018608379.1"	0	3056
"XP_018608650.1"	0	3180
"XP_018609502.2"	101	2449
"XP_018609685.1"	0	3176
"XP_018609843.2"	0	3559
"XP_018610605.1"	73.6	1918
"XP_018612385.1"	95.1	2456
"XP_018612528.2"	39.1	1950
"XP_018613385.1"	0	3392
"XP_018614218.2"	0	1887
"XP_018614486.1"	43.6	2311
"XP_018614545.1"	0	2613
"XP_018614645.1"	0	3429
"XP_018615938.2"	0	3308
"XP_018618028.1"	0	3580
"XP_018618998.1"	75.6	1964
"XP_018619490.1"	28.2	1749
"XP_018619492.2"	156.8	1962
"XP_018620036.1"	0	2066
"XP_018620063.2"	0	3201
"XP_018621351.1"	0	2541
"XP_018621626.2"	40.6	1901
"XP_018919106.1"	39.1	2011
"XP_018920155.1"	0	2532
"XP_018925606.2"	0	2839
"XP_018931076.1"	306.4	2689
"XP_018932070.2"	0	2575
"XP_018932076.2"	0	2575
"XP_018933950.1"	34.5	1901
"XP_018934390.1"	0	1951
"XP_018937945.2"	100.3	2708
"XP_018945765.2"	0	3019
"XP_018963593.1"	0	1757
"XP_018965992.1"	159.6	1867
"XP_018967755.1"	0	2707
"XP_018971384.1"	0	2557
"XP_019108622.2"	68.5	1567
"XP_019109842.1"	37.2	1985
"XP_019110259.1"	0	3361
"XP_019112266.1"	44.9	2111
"XP_019115486.1"	0	3436
"XP_019118363.2"	289.7	1552
"XP_019119659.1"	0	3378
"XP_019121318.2"	0	3424
"XP_019126339.1"	0	2500
"XP_019126593.2"	0	3057
"XP_019128404.2"	0	3596
"XP_019130665.2"	0	2948
"XP_019131672.1"	95.8	2811
"XP_019133992.2"	0	2312
"XP_019202055.1"	0	2647
"XP_019202143.1"	0	3138
"XP_019202191.1"	0	2402
"XP_019202499.1"	97.7	2733
"XP_019203515.1"	10.4	3266
"XP_019204087.1"	0	3798
"XP_019204558.1"	0	2213
"XP_019205211.1"	0	3208
"XP_019205963.1"	0	2373
"XP_019206072.1"	0	2541
"XP_019210679.1"	0	2216
"XP_019210990.1"	0	2584
"XP_019211858.1"	0	2931
"XP_019212022.1"	0	3431
"XP_019212177.1"	0	2953
"XP_019212794.1"	0	2361
"XP_019213834.1"	0	2477
"XP_019217319.1"	0	2751
"XP_019220399.1"	0	3283
"XP_019711768.1"	37.9	1862
"XP_019714216.1"	0	3122
"XP_019715053.1"	43.7	1656
"XP_019715219.1"	38.4	1834
"XP_019716500.1"	0	3371
"XP_019718304.1"	0	2974
"XP_019719430.1"	94.6	2344
"XP_019720133.1"	23.6	0
"XP_019720908.1"	0	3623
"XP_019721152.1"	269.9	2004
"XP_019721496.1"	93.9	2399
"XP_019721817.1"	89.3	2159
"XP_019722974.1"	0	2578
"XP_019723294.1"	0	3268
"XP_019724287.1"	0	2673
"XP_019725394.1"	0	3426
"XP_019725661.1"	0	2902
"XP_019726342.1"	0	3559
"XP_019727139.1"	82.7	1759
"XP_019727508.1"	0	2082
"XP_019727724.1"	0	3091
"XP_019729116.1"	0	3456
"XP_019729171.1"	0	3303
"XP_019729317.1"	0	2656
"XP_019732732.1"	0	3748
"XP_019733162.1"	97.4	2722
"XP_019733349.1"	0	1767
"XP_019733921.1"	57.6	1843
"XP_019734511.1"	0	3011
"XP_019734857.1"	0	3067
"XP_019735428.1"	0	3176
"XP_019737126.1"	0	3278
"XP_019737255.1"	0	1839
"XP_019738735.1"	94.6	2208
"XP_019738781.1"	74.5	1868
"XP_019741003.1"	0	2806
"XP_019741288.1"	92.1	2589
"XP_019741574.1"	68.6	0
"XP_019741796.1"	0	3355
"XP_019742457.1"	0	3325
"XP_019742905.1"	82.5	2060
"XP_019743051.1"	0	2889
"XP_019743486.1"	47.3	2191
"XP_019744030.1"	45	2058
"XP_019744324.1"	0	3820
"XP_019744396.1"	0	2247
"XP_019744942.1"	0	2714
"XP_019745371.1"	0	1899
"XP_019746147.1"	0	3254
"XP_019746557.1"	0	3251
"XP_019746564.1"	0	2799
"XP_019747759.1"	0	1746
"XP_019747789.1"	0	2224
"XP_019747867.1"	0	2966
"XP_019748319.1"	0	3498
"XP_019749161.1"	0	2393
"XP_019750815.1"	0	2393
"XP_019750833.1"	72.1	1917
"XP_019751159.1"	0	3203
"XP_019751471.1"	0	2932
"XP_019751526.1"	0	2955
"XP_019896660.2"	0	3187
"XP_019900200.1"	0	1916
"XP_019900332.2"	0	1896
"XP_019905918.1"	100.4	2418
"XP_019908001.2"	103.3	2711
"XP_019908401.2"	0	2971
"XP_019936278.1"	59.9	2137
"XP_019937348.1"	98.3	2741
"XP_019937451.1"	0	3019
"XP_019938018.1"	0	2929
"XP_019939465.1"	0	2195
"XP_019940072.1"	81.7	1492
"XP_019941376.1"	0	3437
"XP_019942032.1"	0	1915
"XP_019942083.1"	0	3232
"XP_019942916.1"	100.9	2359
"XP_019943852.1"	0	3482
"XP_019944076.1"	74.7	2109
"XP_019944435.1"	49	2110
"XP_019944645.1"	0	3140
"XP_019945124.1"	0	3435
"XP_019946776.1"	38.9	2058
"XP_019948052.1"	95.4	2299
"XP_019948102.1"	36.6	1993
"XP_019948266.1"	0	3355
"XP_019948424.1"	0	3271
"XP_019948460.1"	0	3286
"XP_019949035.1"	101.2	2530
"XP_019949579.1"	0	2717
"XP_019950056.1"	0	1909
"XP_019950137.1"	0	2948
"XP_019950241.1"	0	3051
"XP_019950336.1"	0	3051
"XP_019950860.1"	25.6	0
"XP_019951201.1"	0	1426
"XP_019952570.1"	0	1890
"XP_019953012.1"	95	2534
"XP_019954427.1"	0	2721
"XP_019954666.1"	0	2653
"XP_019954869.1"	0	3304
"XP_019954929.1"	0	3462
"XP_019956634.1"	0	2974
"XP_019957166.1"	93.9	2540
"XP_019957712.1"	0	2387
"XP_019957932.1"	0	3540
"XP_019957990.1"	0	3576
"XP_019958031.1"	0	3526
"XP_019958632.1"	0	1942
"XP_019958755.1"	0	1843
"XP_019959032.1"	0	3138
"XP_019960315.1"	293.7	1647
"XP_019960975.1"	0	3173
"XP_019961172.1"	0	3811
"XP_019961854.1"	0	3977
"XP_019963460.1"	43.5	2290
"XP_019963714.1"	0	2518
"XP_019964344.1"	0	2312
"XP_019965037.1"	152.1	1733
"XP_019965091.1"	74.6	1587
"XP_019965213.1"	13.8	3138
"XP_019965492.1"	71.9	1826
"XP_019965994.1"	0	3019
"XP_019966261.1"	79.6	2298
"XP_019966887.1"	74.5	1890
"XP_019966931.1"	0	1555
"XP_019967032.1"	0	2578
"XP_019968644.1"	58.4	1812
"XP_019969183.1"	0	3211
"XP_019969434.1"	0	3226
"XP_020308295.1"	0	2124
"XP_020310962.1"	0	2790
"XP_020312393.1"	159.5	2145
"XP_020312916.1"	0	2547
"XP_020312993.1"	0	3477
"XP_020313415.1"	0	3019
"XP_020313671.1"	0	2808
"XP_020314185.2"	45.3	1789
"XP_020315200.1"	0	3549
"XP_020316180.1"	284.7	2046
"XP_020320772.1"	102.6	2785
"XP_020320931.1"	0	3541
"XP_020321355.1"	0	2438
"XP_020321545.1"	92	2619
"XP_020324246.1"	0	1920
"XP_020324309.1"	84.1	2608
"XP_020324336.1"	0	1420
"XP_020325833.2"	99.5	2432
"XP_020326876.1"	84.2	2158
"XP_020327441.1"	282.9	1989
"XP_020327652.1"	102.3	2683
"XP_020327890.1"	0	3116
"XP_020327892.1"	102.4	2701
"XP_020328985.1"	0	3351
"XP_020329995.1"	42.2	2312
"XP_020331585.1"	102.6	2350
"XP_020332726.1"	42.4	2307
"XP_020333058.1"	153.8	2074
"XP_020335672.1"	37.4	2076
"XP_020338258.1"	0	1683
"XP_020338609.1"	86.5	2411
"XP_020339483.2"	0	2018
"XP_020340553.1"	0	2934
"XP_020340705.2"	0	3019
"XP_020341056.1"	71.8	1824
"XP_020341643.1"	0	2782
"XP_020343037.1"	0	1495
"XP_020343296.1"	0	2226
"XP_020346700.1"	86.3	2110
"XP_020347597.1"	61.6	2096
"XP_020348397.1"	0	3330
"XP_020348989.2"	50.8	1710
"XP_020349410.2"	0	1821
"XP_020349479.2"	41.6	0
"XP_020352713.1"	0	1501
"XP_020353092.2"	34.3	1901
"XP_020354007.2"	33.1	1890
"XP_020356343.2"	0	3509
"XP_020356353.1"	0	3355
"XP_020356498.2"	0	2252
"XP_020357293.2"	102.1	2713
"XP_020358322.2"	0	3473
"XP_020360341.2"	99.2	2467
"XP_020361275.1"	0	3559
"XP_020361293.1"	0	3509
"XP_020361383.1"	0	3115
"XP_020361728.1"	0	3533
"XP_020362812.1"	0	3309
"XP_020364596.2"	0	3102
"XP_020440974.1"	0	3176
"XP_020441283.1"	0	2578
"XP_020441412.1"	0	3040
"XP_020441696.1"	0	3626
"XP_020442402.1"	0	1905
"XP_020443930.1"	95.6	2261
"XP_020444077.1"	0	3203
"XP_020444913.1"	0	2365
"XP_020445221.1"	61.5	1734
"XP_020445624.1"	0	3153
"XP_020445657.1"	0	2831
"XP_020446083.1"	0	2888
"XP_020448876.1"	0	2984
"XP_020449293.1"	0	2633
"XP_020449602.1"	0	3485
"XP_020450683.1"	43.2	2178
"XP_020450993.1"	96.9	2762
"XP_020451522.1"	0	3321
"XP_020451857.1"	100.2	1812
"XP_020453079.1"	0	3576
"XP_020453335.1"	102	2422
"XP_020453627.1"	95	2557
"XP_020454090.1"	0	3563
"XP_020454856.1"	0	3639
"XP_020455564.1"	0	1937
"XP_020455693.1"	104.1	2555
"XP_020455885.1"	0	3496
"XP_020455989.1"	63.6	0
"XP_020456502.1"	100	2831
"XP_020457469.1"	38.1	1831
"XP_020458189.1"	0	2912
"XP_020459012.1"	57.8	2064
"XP_020459793.1"	0	3812
"XP_020459916.1"	0	1899
"XP_020461100.1"	0	1915
"XP_020461102.1"	0	2948
"XP_020462980.1"	0	3108
"XP_020464851.1"	0	3388
"XP_020466895.1"	0	2212
"XP_020468452.1"	0	3180
"XP_020470444.1"	75.1	2030
"XP_020470732.1"	0	3203
"XP_020470749.1"	0	3719
"XP_020471128.1"	96	2442
"XP_020471355.1"	0	2220
"XP_020471443.1"	161.3	2006
"XP_020471729.1"	44.9	2166
"XP_020472453.1"	0	2312
"XP_020473298.1"	0	3278
"XP_020473698.1"	0	1989
"XP_020474167.1"	0	2540
"XP_020474459.1"	0	2439
"XP_020474766.1"	0	3300
"XP_020474879.1"	95	2163
"XP_020474907.1"	0	3377
"XP_020475766.1"	0	3355
"XP_020477244.1"	41.1	2061
"XP_020477773.1"	76.8	2052
"XP_020479485.1"	0	3182
"XP_020480642.1"	0	1478
"XP_020480996.1"	288	1693
"XP_020481140.1"	0	3001
"XP_020482110.1"	101.4	2598
"XP_020484098.1"	0	3511
"XP_020485458.1"	0	3005
"XP_020486030.1"	0	3495
"XP_020486183.1"	0	2772
"XP_020486816.1"	76.9	1890
"XP_020488472.1"	59.6	2120
"XP_020488977.1"	37.6	2028
"XP_020489528.1"	0	2836
"XP_020490682.1"	0	3203
"XP_020492815.1"	0	3279
"XP_020495149.1"	100.7	2034
"XP_020495216.1"	0	1919
"XP_020495680.1"	0	2544
"XP_020495898.1"	0	3526
"XP_020496175.1"	0	3251
"XP_020496790.1"	0	3514
"XP_020498619.1"	39.1	2039
"XP_020499739.1"	0	1870
"XP_020500754.1"	101.4	2598
"XP_020501344.1"	0	2915
"XP_020501363.1"	0	1790
"XP_020501525.1"	0	2701
"XP_020501604.1"	0	3176
"XP_020502134.1"	0	3369
"XP_020503081.1"	0	2526
"XP_020504170.1"	0	3076
"XP_020504458.1"	0	3013
"XP_020504512.1"	154.7	1867
"XP_020504881.1"	78.7	2107
"XP_020505337.1"	0	3854
"XP_020505444.1"	96.9	2716
"XP_020506370.1"	0	3140
"XP_020506494.1"	98.4	2741
"XP_020507102.2"	0	3251
"XP_020507548.1"	0	1864
"XP_020508096.1"	107	2632
"XP_020508117.1"	0	3072
"XP_020509036.1"	0	2129
"XP_020509338.1"	86.7	0
"XP_020509402.1"	0	2312
"XP_020510102.1"	97.9	2576
"XP_020510872.1"	0	2277
"XP_020511431.1"	0	3147
"XP_020512033.1"	11.5	0
"XP_020512691.1"	0	2578
"XP_020513388.1"	0	3352
"XP_020513668.2"	0	2828
"XP_020513712.1"	0	3391
"XP_020514629.1"	43.5	2264
"XP_020562535.1"	0	3597
"XP_020563519.1"	0	3778
"XP_020568032.2"	0	3176
"XP_020773805.1"	0	2841
"XP_020773904.2"	271.8	1633
"XP_020774316.2"	0	3359
"XP_020774560.1"	56.2	1908
"XP_020775871.1"	0	3368
"XP_020776785.1"	34.9	1739
"XP_020778438.1"	0	3176
"XP_020778646.1"	0	2011
"XP_020779137.1"	0	2932
"XP_020779586.2"	146.5	1951
"XP_020780732.1"	98.2	2750
"XP_020782066.2"	0	2552
"XP_020784172.1"	69.9	1993
"XP_020785724.2"	93.5	2189
"XP_020787233.2"	0	2137
"XP_020788406.2"	0	3623
"XP_020789106.1"	0	2638
"XP_020789682.2"	88.8	2609
"XP_020791471.2"	0	3095
"XP_020792449.1"	0	3879
"XP_020793295.1"	38.6	2052
"XP_020793791.1"	12.3	0
"XP_020794507.1"	0	2977
"XP_020794940.1"	0	3576
"XP_020795179.1"	0	2422
"XP_020796936.1"	73.7	1743
"XP_021164585.2"	0	3561
"XP_021166884.2"	43.5	2048
"XP_021170578.2"	0	1631
"XP_021170616.2"	8.3	2538
"XP_021170619.2"	0	2397
"XP_021175061.2"	82.9	1896
"XP_021177629.2"	0	1971
"XP_021177722.2"	94.8	2293
"XP_021178973.2"	0	3799
"XP_021323870.1"	99.3	2407
"XP_021324462.1"	0	3449
"XP_021326732.1"	0	2630
"XP_021327801.1"	0	2989
"XP_021329647.1"	0	2897
"XP_021329977.1"	0	2897
"XP_021331236.1"	0	2648
"XP_021331411.1"	0	2726
"XP_021332760.1"	0	1968
"XP_021334168.1"	47.1	2092
"XP_021334937.1"	33.2	1675
"XP_021413412.2"	0	3064
"XP_021414102.2"	0	1821
"XP_021416865.2"	0	2124
"XP_021417210.2"	0	2754
"XP_021418688.1"	34	1901
"XP_021419189.2"	84.2	2158
"XP_021419943.2"	101.2	2398
"XP_021420957.2"	159.5	2145
"XP_021421540.2"	0	3302
"XP_021422133.1"	0	3549
"XP_021425466.1"	0	3371
"XP_021426215.2"	0	2492
"XP_021427318.1"	0	3120
"XP_021427466.2"	0	3509
"XP_021427478.2"	0	3559
"XP_021427504.2"	98.3	2459
"XP_021429585.2"	0	2237
"XP_021430903.1"	0	2557
"XP_021431930.2"	270.2	2046
"XP_021433142.2"	84.7	2020
"XP_021433999.1"	0	1420
"XP_021436981.2"	279.9	2008
"XP_021437839.1"	0	1485
"XP_021441538.2"	35.4	1471
"XP_021443027.2"	0	3473
"XP_021446434.2"	0	3541
"XP_021446586.1"	102.6	2785
"XP_021446642.2"	0	2448
"XP_021449439.1"	91.9	2633
"XP_021452018.1"	33	1890
"XP_021453682.2"	0	2422
"XP_021455719.2"	86.5	2487
"XP_021458098.2"	102.3	2683
"XP_021458168.2"	0	2547
"XP_021458348.2"	0	3019
"XP_021458587.2"	0	2808
"XP_021458752.2"	44.6	1708
"XP_021458899.2"	0	1887
"XP_021460805.2"	42.2	2312
"XP_021461280.2"	0	3491
"XP_021461739.2"	0	3029
"XP_021462358.1"	102.4	2701
"XP_021462407.1"	37.4	2076
"XP_021464587.2"	0	1553
"XP_021465029.2"	91	2728
"XP_021466298.2"	0	2025
"XP_021471455.2"	0	3533
"XP_021472101.2"	0	3296
"XP_021473645.2"	0	3558
"XP_021477748.1"	0	3082
"XP_021478511.2"	0	2934
"XP_021478722.2"	0	3019
"XP_021479310.2"	0	3453
"XP_021479980.2"	0	2782
"XP_021481229.2"	0	1821
"XP_022043777.1"	0	3058
"XP_022045094.1"	102.6	2374
"XP_022047057.2"	291	1556
"XP_022048255.1"	66.6	1479
"XP_022049254.1"	0	2771
"XP_022049275.2"	0	3033
"XP_022050733.2"	0	1858
"XP_022051450.1"	0	2157
"XP_022051779.1"	0	3485
"XP_022052044.1"	0	2814
"XP_022052741.1"	0	1655
"XP_022053235.1"	85.1	1717
"XP_022053641.2"	97.5	2676
"XP_022055046.2"	75.5	1794
"XP_022055085.2"	0	2924
"XP_022055184.1"	59.1	2137
"XP_022055804.2"	0	3526
"XP_022057095.2"	0	2186
"XP_022057916.2"	0	3355
"XP_022060270.1"	0	3176
"XP_022060597.1"	39.1	2107
"XP_022061146.2"	90.3	2559
"XP_022061864.1"	0	2340
"XP_022063033.2"	0	3503
"XP_022063885.2"	0	3752
"XP_022063950.1"	43.5	2264
"XP_022064355.2"	0	3203
"XP_022065498.1"	94.1	2606
"XP_022065828.2"	155	2139
"XP_022068369.1"	9.9	1865
"XP_022070795.2"	99.6	2368
"XP_022070969.2"	99.6	2390
"XP_022072279.2"	0	2647
"XP_022072876.2"	0	3576
"XP_022073088.2"	0	3267
"XP_022073445.1"	0	3255
"XP_022073571.2"	101.9	2266
"XP_022073815.1"	0	2442
"XP_022074663.2"	94.6	2150
"XP_022076762.2"	71.6	2123
"XP_022076849.1"	0	3411
"XP_022518442.2"	0	3167
"XP_022520610.1"	42.4	2250
"XP_022522995.2"	294.1	2747
"XP_022523534.2"	0	2638
"XP_022525815.2"	0	2722
"XP_022526242.2"	0	2826
"XP_022527452.2"	87	1851
"XP_022528991.2"	0	2229
"XP_022529953.2"	0	2928
"XP_022531855.2"	102.1	2484
"XP_022531979.2"	0	3450
"XP_022532222.2"	0	3582
"XP_022532616.2"	0	3262
"XP_022534812.1"	105.7	2610
"XP_022535081.1"	0	3692
"XP_022536643.2"	0	2458
"XP_022536685.2"	46.5	1777
"XP_022536820.2"	72.5	1636
"XP_022538322.2"	0	2955
"XP_022538725.2"	0	3156
"XP_022539499.1"	0	2406
"XP_022539762.2"	110.8	2302
"XP_022542493.2"	0	3247
"XP_022593743.1"	100.4	2380
"XP_022594631.1"	0	2002
"XP_022595165.1"	0	2948
"XP_022595261.1"	0	3111
"XP_022595425.1"	0	1857
"XP_022595586.1"	0	2921
"XP_022597296.1"	0	3203
"XP_022597349.1"	34.2	0
"XP_022597390.1"	0	3447
"XP_022598443.1"	300.7	1765
"XP_022600082.1"	100.5	2471
"XP_022600145.1"	0	3044
"XP_022600164.1"	0	3774
"XP_022600300.1"	0	2559
"XP_022601020.1"	0	1897
"XP_022601227.1"	0	2967
"XP_022601277.1"	0	2951
"XP_022601821.1"	73.3	1938
"XP_022601882.1"	100.3	2488
"XP_022602724.1"	0	3556
"XP_022602746.1"	0	3576
"XP_022602875.1"	0	3237
"XP_022603003.1"	102.3	2460
"XP_022604033.1"	89.6	2637
"XP_022604122.1"	0	2647
"XP_022605057.1"	0	2312
"XP_022605126.1"	96.1	2187
"XP_022605720.1"	0	2181
"XP_022606381.1"	0	3769
"XP_022606463.1"	0	2163
"XP_022607785.1"	0	3311
"XP_022608437.1"	0	3119
"XP_022609195.1"	0	3301
"XP_022609290.1"	38.3	2059
"XP_022609498.1"	43.7	2269
"XP_022609530.1"	0	3507
"XP_022611098.1"	0	1804
"XP_022611495.1"	86	1617
"XP_022612443.1"	0	3286
"XP_022612815.1"	0	2219
"XP_022613422.1"	0	2774
"XP_022613557.1"	0	2849
"XP_022614835.1"	58	2064
